Lesson ID,Level,English Title,Field,Kannada Text
1,level7,Office Vocabulary,kannadaExplanation,ಕಚೇರಿಗಳಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸುವ ಪದಗಳು.
2,level7,Job Titles and Roles,kannadaTitle,ಹುದ್ದುಗಳು ಮತ್ತು ಪಾತ್ರಗಳು
2,level7,Job Titles and Roles,kannadaExplanation,ಸಾಮಾನ್ಯ ಹುದ್ದುಗಳು.
3,level7,Email Writing Basics,kannadaTitle,ಇಮೇಲ್ ಬರೆಯುವ ಮೂಲಾಂಶಗಳು
3,level7,Email Writing Basics,kannadaExplanation,ವೃತ್ತಿಪರ ಇಮೇಲ್‌ಗಳನ್ನು ಹೇಗೆ ಬರೆಯಬೇಕು.
4,level7,Job Interview - Introduction,kannadaTitle,ಉದ್ಯೋಗ ಸಂದರ್ಶನ - ಪರಿಚಯ
4,level7,Job Interview - Introduction,kannadaExplanation,ಸಂದರ್ಶನದಲ್ಲಿ ನಿಮ್ಮನ್ನು ಹೇಗೆ ಪರಿಚಯಿಸಿಕೊಳ್ಳಬೇಕು.
5,level7,Job Interview - Questions,kannadaTitle,ಉದ್ಯೋಗ ಸಂದರ್ಶನ - ಪ್ರಶ್ನೆಗಳು
5,level7,Job Interview - Questions,kannadaExplanation,ಸಾಮಾನ್ಯ ಸಂದರ್ಶನ ಪ್ರಶ್ನೆಗಳು ಮತ್ತು ಉತ್ತರಗಳು.
6,level7,Talking About Work Experience,kannadaTitle,ಕೆಲಸ ಅನುಭವದ ಬಗ್ಗೆ ಮಾತನಾಡುವುದು
6,level7,Talking About Work Experience,kannadaExplanation,ನಿಮ್ಮ ಕೆಲಸ ಇತಿಹಾಸವನ್ನು ಹೇಗೆ ವಿವರಿಸಬೇಕು.
7,level7,Meeting Vocabulary,kannadaTitle,ಸಭೆ ಶಬ್ದಕೋಶ
7,level7,Meeting Vocabulary,kannadaExplanation,ಸಭೆಗಳಲ್ಲಿ ಬಳಸುವ ಪದಗಳು.
8,level7,Participating in Meetings,kannadaTitle,ಸಭೆಗಳಲ್ಲ ಭಾಗವಹಿಸುವುದು
8,level7,Participating in Meetings,kannadaExplanation,ಸಭೆಗಳಲ್ಲಿ ಹೇಗೆ ಮಾತನಾಡಬೇಕು.
9,level7,Professional Greetings,kannadaTitle,ವೃತ್ತಿಪರ ಅಭಿವಾದನೆಗಳು
9,level7,Professional Greetings,kannadaExplanation,ಜನರನ್ನು ವೃತ್ತಿಪರವಾಗಿ ಹೇಗೆ ಅಭಿವಾದಿಸಬೇಕು.
10,level7,Giving and Receiving Feedback,kannadaTitle,ಪ್ರತಿಕ್ರಿಯೆ ನೀಡುವುದು ಮತ್ತು ಸ್ವೀಕರಿಸುವುದು
10,level7,Giving and Receiving Feedback,kannadaExplanation,ವೃತ್ತಿಪರವಾಗಿ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ಹೇಗೆ ನೀಡಬೇಕು ಮತ್ತು ಸ್ವೀಕರಿಸಬೇಕು.
11,level7,Salary and Benefits,kannadaTitle,ಸಂಬಳ ಮತ್ತು ಸೌಲಭ್ಯಗಳು
11,level7,Salary and Benefits,kannadaExplanation,ಪರಿಹಾರದ ಬಗ್ಗೆ ಮಾತನಾಡುವುದು.
12,level7,Level 7 Test,kannadaTitle,Level 7 ಪರೀಕ್ಷೆ
12,level7,Level 7 Test,kannadaExplanation,ನಿಮ್ಮ ಕಾರ್ಯಸ್ಥಳ ಇಂಗ್ಲಿಷ್ ಅನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level8,Passive Voice - Present,kannadaTitle,ಕರ್ಮಣಿ ಪ್ರಯೋಗ - ವರ್ತಮಾನ
1,level8,Passive Voice - Present,kannadaExplanation,ಕರ್ಮಣಿ ಪ್ರಯೋಗದಲ್ಲಿ ಕರ್ಮವು ಕರ್ತೃವಾಗುತ್ತದೆ.
2,level8,Passive Voice - Past,kannadaTitle,ಕರ್ಮಣಿ ಪ್ರಯೋಗ - ಭೂತ
2,level8,Passive Voice - Past,kannadaExplanation,ಭೂತ ಕರ್ಮಣಿ ಪ್ರಯೋಗದ ನಿರ್ಮಾಣ.
3,level8,Present Perfect Tense,kannadaTitle,ವರ್ತಮಾನ ಪೂರ್ಣ ಕಾಲ
3,level8,Present Perfect Tense,kannadaExplanation,ಭೂತಕಾಲದಲ್ಲಿ ಪೂರ್ಣಗೊಂಡ ಕ್ರಿಯೆಗಳು ವರ್ತಮಾನಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ.
4,level8,Present Perfect vs Past Simple,kannadaTitle,ವರ್ತಮಾನ ಪೂರ್ಣ vs ಭೂತ ಸರಳ
4,level8,Present Perfect vs Past Simple,kannadaExplanation,ವರ್ತಮಾನ ಪೂರ್ಣ ಮತ್ತು ಭೂತ ಸರಳದ ನಡುವಿನ ವ್ಯತ್ಯಾಸ.
5,level8,Past Perfect Tense,kannadaTitle,ಭೂತ ಪೂರ್ಣ ಕಾಲ
5,level8,Past Perfect Tense,kannadaExplanation,ಇನ್ನೊಂದು ಭೂತ ಕ್ರಿಯೆಗೆ ಮೊದಲು ಪೂರ್ಣಗೊಂಡ ಕ್ರಿಯೆಗಳು.
6,level8,Future Perfect Tense,kannadaTitle,ಭವಿಷ್ಯ ಪೂರ್ಣ ಕಾಲ
6,level8,Future Perfect Tense,kannadaExplanation,ಭವಿಷ್ಯದ ಒಂದು ಸಮಯದವರೆಗೆ ಪೂರ್ಣಗೊಳ್ಳುವ ಕ್ರಿಯೆಗಳು.
7,level8,Conditionals - Type 0,kannadaTitle,ಸಶರ್ತಗಳು - ಪ್ರಕಾರ 0
7,level8,Conditionals - Type 0,kannadaExplanation,ಸಾಮಾನ್ಯ ಸತ್ಯಗಳು ಮತ್ತು ವೈಜ್ಞಾನಿಕ ವಾಸ್ತವಗಳು.
8,level8,Conditionals - Type 1,kannadaTitle,ಸಶರ್ತಗಳು - ಪ್ರಕಾರ 1
8,level8,Conditionals - Type 1,kannadaExplanation,ಭವಿಷ್ಯದಲ್ಲಿ ನೈಜ ಸಾಧ್ಯತೆಗಳು.
9,level8,Conditionals - Type 2,kannadaTitle,ಸಶರ್ತಗಳು - ಪ್ರಕಾರ 2
9,level8,Conditionals - Type 2,kannadaExplanation,ಕಾಲ್ಪನಿಕ ಅಥವಾ ಅಸಂಭವನೀಯ ಪರಿಸ್ಥಿತಿಗಳು.
10,level8,Conditionals - Type 3,kannadaTitle,ಸಶರ್ತಗಳು - ಪ್ರಕಾರ 3
10,level8,Conditionals - Type 3,kannadaExplanation,ಸಂಭವಿಸದ ಭೂತ ಪರಿಸ್ಥಿತಿಗಳು.
11,level8,Reported Speech,kannadaTitle,ವರದಿಗೊಳಿಸಿದ ಮಾತು
11,level8,Reported Speech,kannadaExplanation,ಯಾರಾದರೂ ಹೇಳಿದ್ದನ್ನು ಹೇಗೆ ವರದಿ ಮಾಡಬೇಕು.
12,level8,Relative Clauses,kannadaTitle,ಸಂಬಂಧಿತ ಉಪವಾಕ್ಯಗಳು
12,level8,Relative Clauses,kannadaExplanation,"ವಾಕ್ಯಗಳನ್ನು ಸಂಪರ್ಕಿಸಲು who, which, that ಬಳಸುವುದು."
13,level8,Modals of Probability,kannadaTitle,ಸಂಭಾವ್ಯತೆಯ ಮೋಡಲ್‌ಗಳು
13,level8,Modals of Probability,kannadaExplanation,"ಸಂಭಾವ್ಯತೆಗಾಗಿ must, may, might, could ಬಳಸುವುದು."
14,level8,Used to and Would,kannadaTitle,Used to ಮತ್ತು Would
14,level8,Used to and Would,kannadaExplanation,ಭೂತಕಾಲದ ಅಭ್ಯಾಸಗಳ ಬಗ್ಗೆ ಮಾತನಾಡುವುದು.
15,level8,Level 8 Test,kannadaTitle,Level 8 ಪರೀಕ್ಷೆ
15,level8,Level 8 Test,kannadaExplanation,ನಿಮ್ಮ ಸುಧಾರಿತ ವ್ಯಾಕರಣವನ್ನು ಪರೀಕ್ಷಿಸಿ.
1,level9,Fluent Speaking Skills,kannadaTitle,ನಿರರ್ಗಳ ಮಾತನಾಡುವ ಕೌಶಲ್ಯಗಳು
1,level9,Fluent Speaking Skills,kannadaExplanation,ನಿರರ್ಗಳವಾಗಿ ಮಾತನಾಡಲು ಸೂಚನೆಗಳು.
2,level9,Giving Presentations,kannadaTitle,ಪ್ರಸ್ತುತಿಗಳನ್ನು ನೀಡುವುದು
2,level9,Giving Presentations,kannadaExplanation,ಪರಿಣಾಮಕಾರಿ ಪ್ರಸ್ತುತಿಗಳನ್ನು ಹೇಗೆ ನೀಡಬೇಕು.
3,level9,Participating in Discussions,kannadaTitle,ಚರ್ಚೆಗಳಲ್ಲಿ ಭಾಗವಹಿಸುವುದು
3,level9,Participating in Discussions,kannadaExplanation,ಗುಂಪು ಚರ್ಚೆಗಳಲ್ಲಿ ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಹೇಗೆ ಭಾಗವಹಿಸಬೇಕು.
4,level9,Expressing Complex Ideas,kannadaTitle,ಸಂಕೀರ್ಣ ಆಲೋಚನೆಗಳನ್ನು ವ್ಯಕ್ತಪಡಿಸುವುದು
4,level9,Expressing Complex Ideas,kannadaExplanation,ಸಂಕೀರ್ಣ ಆಲೋಚನೆಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಹೇಗೆ ವ್ಯಕ್ತಪಡಿಸಬೇಕು.
5,level9,Debate Skills,kannadaTitle,ರ್ಚಾ ಕೌಶಲ್ಯಗಳು
5,level9,Debate Skills,kannadaExplanation,ಚರ್ಚೆಗಳಲ್ಲಿ ಹೇಗೆ ಭಾಗವಹಿಸಬೇಕು.
6,level9,Negotiation Skills,kannadaTitle,ಮಾತುಕತೆ ಕೌಶಲ್ಯಗಳು
6,level9,Negotiation Skills,kannadaExplanation,ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಹೇಗೆ ಮಾತುಕತೆ ಮಾಡಬೇಕು.
7,level9,Small Talk,kannadaTitle,ಸಣ್ಣ ಮಾತುಗಳು
7,level9,Small Talk,kannadaExplanation,ಸಾಮಾಜಿಕ ಪರಿಸ್ಥಿತಿಗಳಲ್ಲಿ ಹೇಗೆ ಸಂಭಾಷಣೆ ಮಾಡಬೇಕು.
8,level9,Cultural Topics,kannadaTitle,ಸಾಂಸ್ಕೃತಿಕ ವಿಷಯಗಳು
8,level9,Cultural Topics,kannadaExplanation,"ಸಂಸ್ಕೃತಿ, ಸಂಪ್ರದಾಯಗಳು, ಮತ್ತು ಹಬ್ಬಗಳ ಬಗ್ಗೆ ಚರ್ಚಿಸುವುದು."
9,level9,Current Affairs,kannadaTitle,ಪ್ರಸ್ತುತ ವಿದ್ಯಮಾನಗಳು
9,level9,Current Affairs,kannadaExplanation,ಸುದ್ದಿ ಮತ್ತು ಪ್ರಸ್ತುತ ಘಟನೆಗಳ ಬಗ್ಗೆ ಚರ್ಚಿಸುವುದು.
10,level9,Level 9 Final Test,kannadaTitle,Level 9 ಅಂತಿಮ ಪರೀಕ್ಷೆ
10,level9,Level 9 Final Test,kannadaExplanation,ನಿಮ್ಮ ಒಟ್ಟಾತ್ಮಕ ಇಂಗ್ಲಿಷ್ ನಿರರ್ಗಳತೆಯನ್ನು ಪರೀಕ್ಷಿಸಿ.
